cod ISTAT;nome;PM10 media annua  (µg/m3) MIN;PM10 media annua  (µg/m3) MED;PM10 media annua  (µg/m3) MAX;PM10 n° sup. giornalieri VL=50 µg/m3 MIN;PM10 n° sup. giornalieri VL=50 µg/m3 MED;PM10 n° sup. giornalieri VL=50 µg/m3 MAX;PM2.5 media annua (µg/m3) MIN;PM2.5 media annua (µg/m3) MED;PM2.5 media annua (µg/m3) MAX;NO2 media annua  (µg/m3) MIN;NO2 media annua  (µg/m3) MED;NO2 media annua  (µg/m3) MAX;NO2 n° sup. orari VL=200 µg/m3 MIN;NO2 n° sup. orari VL=200 µg/m3 MED;NO2 n° sup. orari VL=200 µg/m3 MAX;BENZENE media annua (µg/m3) MIN;BENZENE media annua (µg/m3) MED;BENZENE media annua (µg/m3) MAX;CO n° sup. max media 8ore VL=10 mg/m3 MIN;CO n° sup. max media 8ore VL=10 mg/m3 MED;CO n° sup. max media 8ore VL=10 mg/m3 MAX;SO2 n° sup. giornalieri VL=125 µg/m3 MIN;SO2 n° sup. giornalieri VL=125 µg/m3 MED;SO2 n° sup. giornalieri VL=125 µg/m3 MAX;O3 n° sup. max media 8ore VL=120 µg/m3 MIN;O3 n° sup. max media 8ore VL=120 µg/m3 MED;O3 n° sup. max media 8ore VL=120 µg/m3 MAX
cod ISTAT;nome;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX;MIN;MED;MAX
12057001;Accumoli;6;7;8;0;0;0;5;6;6;2;3;4;0;0;0;0.2;0.2;0.2;0;0;0;0;0;0;1;3;4
12060001;Acquafondata;4;5;7;0;0;0;4;4;6;2;3;7;0;0;0;0.2;0.3;0.6;0;0;0;0;0;0;3;6;13
12056001;Acquapendente;11;13;15;0;0;0;9;10;10;4;5;7;0;0;0;0.3;0.4;0.8;0;0;0;0;0;0;1;7;11
12060002;Acuto;8;12;15;0;0;1;5;7;8;9;15;19;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;4;8;12
12058001;Affile;6;7;8;0;0;0;4;5;6;5;9;13;0;0;0;0.2;0.2;0.3;0;0;0;0;0;0;7;14;18
12058002;Agosta;7;9;10;0;0;0;6;6;7;6;9;13;0;0;0;0.2;0.3;0.3;0;0;0;0;0;0;28;29;30
12060003;Alatri;3;16;30;0;13;51;3;8;18;1;20;44;0;0;0;0.1;0.7;1.7;0;0;0;0;0;0;1;8;17
12058003;Albano Laziale;9;13;16;0;0;3;7;10;12;9;16;22;0;0;0;0.3;0.5;0.7;0;0;0;0;0;0;26;36;55
12058004;Allumiere;15;16;17;0;1;1;8;9;9;6;9;13;0;0;0;0.3;0.3;0.3;0;0;0;0;0;0;3;12;19
12060004;Alvito;4;8;13;0;0;0;3;6;10;1;3;5;0;0;0;0.1;0.2;0.2;0;0;0;0;0;0;0;8;21
