movieId,title,genres
1.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2.0,Jumanji (1995),Adventure|Children|Fantasy
3.0,Grumpier Old Men (1995),Comedy|Romance
4.0,Waiting to Exhale (1995),Comedy|Drama|Romance
5.0,Father of the Bride Part II (1995),Comedy
6.0,Heat (1995),Action|Crime|Thriller
7.0,Sabrina (1995),Comedy|Romance
8.0,Tom and Huck (1995),Adventure|Children
9.0,Sudden Death (1995),Action
10.0,GoldenEye (1995),Action|Adventure|Thriller
11.0,"American President, The (1995)",Comedy|Drama|Romance
12.0,Dracula: Dead and Loving It (1995),Comedy|Horror
13.0,Balto (1995),Adventure|Animation|Children
14.0,Nixon (1995),Drama
15.0,Cutthroat Island (1995),Action|Adventure|Romance
16.0,Casino (1995),Crime|Drama
17.0,Sense and Sensibility (1995),Drama|Romance
18.0,Four Rooms (1995),Comedy
19.0,Ace Ventura: When Nature Calls (1995),Comedy
20.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21.0,Get Shorty (1995),Comedy|Crime|Thriller
22.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23.0,Assassins (1995),Action|Crime|Thriller
24.0,Powder (1995),Drama|Sci-Fi
25.0,Leaving Las Vegas (1995),Drama|Romance
26.0,Othello (1995),Drama
27.0,Now and Then (1995),Children|Drama
28.0,Persuasion (1995),Drama|Romance
29.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31.0,Dangerous Minds (1995),Drama
32.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34.0,Babe (1995),Children|Drama
36.0,Dead Man Walking (1995),Crime|Drama
38.0,It Takes Two (1995),Children|Comedy
39.0,Clueless (1995),Comedy|Romance
40.0,"Cry, the Beloved Country (1995)",Drama
41.0,Richard III (1995),Drama|War
42.0,Dead Presidents (1995),Action|Crime|Drama
43.0,Restoration (1995),Drama
44.0,Mortal Kombat (1995),Action|Adventure|Fantasy
45.0,To Die For (1995),Comedy|Drama|Thriller
46.0,How to Make an American Quilt (1995),Drama|Romance
47.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49.0,When Night Is Falling (1995),Drama|Romance
50.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52.0,Mighty Aphrodite (1995),Comedy|Drama|Romance
53.0,Lamerica (1994),Adventure|Drama
54.0,"Big Green, The (1995)",Children|Comedy
55.0,Georgia (1995),Drama
57.0,Home for the Holidays (1995),Drama
58.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60.0,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61.0,Eye for an Eye (1996),Drama|Thriller
62.0,Mr. Holland's Opus (1995),Drama
63.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64.0,Two if by Sea (1996),Comedy|Romance
65.0,Bio-Dome (1996),Comedy
66.0,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68.0,French Twist (Gazon maudit) (1995),Comedy|Romance
69.0,Friday (1995),Comedy
70.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71.0,Fair Game (1995),Action
72.0,Kicking and Screaming (1995),Comedy|Drama
73.0,"Misérables, Les (1995)",Drama|War
74.0,Bed of Roses (1996),Drama|Romance
75.0,Big Bully (1996),Comedy|Drama
76.0,Screamers (1995),Action|Sci-Fi|Thriller
77.0,Nico Icon (1995),Documentary
78.0,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79.0,"Juror, The (1996)",Drama|Thriller
80.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81.0,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82.0,Antonia's Line (Antonia) (1995),Comedy|Drama
83.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85.0,Angels and Insects (1995),Drama|Romance
86.0,White Squall (1996),Action|Adventure|Drama
87.0,Dunston Checks In (1996),Children|Comedy
88.0,Black Sheep (1996),Comedy
89.0,Nick of Time (1995),Action|Thriller
92.0,Mary Reilly (1996),Drama|Horror|Thriller
93.0,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94.0,Beautiful Girls (1996),Comedy|Drama|Romance
95.0,Broken Arrow (1996),Action|Adventure|Thriller
96.0,In the Bleak Midwinter (1995),Comedy|Drama
97.0,"Hate (Haine, La) (1995)",Crime|Drama
99.0,Heidi Fleiss: Hollywood Madam (1995),Documentary
100.0,City Hall (1996),Drama|Thriller
101.0,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102.0,Mr. Wrong (1996),Comedy
103.0,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104.0,Happy Gilmore (1996),Comedy
105.0,"Bridges of Madison County, The (1995)",Drama|Romance
106.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107.0,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108.0,Catwalk (1996),Documentary
110.0,Braveheart (1995),Action|Drama|War
111.0,Taxi Driver (1976),Crime|Drama|Thriller
112.0,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113.0,Before and After (1996),Drama|Mystery
116.0,Anne Frank Remembered (1995),Documentary
117.0,"Young Poisoner's Handbook, The (1995)",Crime|Drama
118.0,If Lucy Fell (1996),Comedy|Romance
119.0,"Steal Big, Steal Little (1995)",Comedy
121.0,"Boys of St. Vincent, The (1992)",Drama
122.0,Boomerang (1992),Comedy|Romance
123.0,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
125.0,Flirting With Disaster (1996),Comedy
126.0,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
128.0,Jupiter's Wife (1994),Documentary
129.0,Pie in the Sky (1996),Comedy|Romance
132.0,Jade (1995),Thriller
135.0,Down Periscope (1996),Comedy
137.0,Man of the Year (1995),Documentary
140.0,Up Close and Personal (1996),Drama|Romance
141.0,"Birdcage, The (1996)",Comedy
144.0,"Brothers McMullen, The (1995)",Comedy
145.0,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
146.0,"Amazing Panda Adventure, The (1995)",Adventure|Children
147.0,"Basketball Diaries, The (1995)",Drama
148.0,"Awfully Big Adventure, An (1995)",Drama
149.0,Amateur (1994),Crime|Drama|Thriller
150.0,Apollo 13 (1995),Adventure|Drama|IMAX
151.0,Rob Roy (1995),Action|Drama|Romance|War
152.0,"Addiction, The (1995)",Drama|Horror
153.0,Batman Forever (1995),Action|Adventure|Comedy|Crime
154.0,Beauty of the Day (Belle de jour) (1967),Drama
155.0,Beyond Rangoon (1995),Adventure|Drama|War
156.0,Blue in the Face (1995),Comedy|Drama
157.0,Canadian Bacon (1995),Comedy|War
158.0,Casper (1995),Adventure|Children
159.0,Clockers (1995),Crime|Drama|Mystery
160.0,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161.0,Crimson Tide (1995),Drama|Thriller|War
162.0,Crumb (1994),Documentary
163.0,Desperado (1995),Action|Romance|Western
164.0,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165.0,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166.0,"Doom Generation, The (1995)",Comedy|Crime|Drama
168.0,First Knight (1995),Action|Drama|Romance
169.0,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
170.0,Hackers (1995),Action|Adventure|Crime|Thriller
171.0,Jeffrey (1995),Comedy|Drama
172.0,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173.0,Judge Dredd (1995),Action|Crime|Sci-Fi
174.0,Jury Duty (1995),Comedy
175.0,Kids (1995),Drama
176.0,Living in Oblivion (1995),Comedy
177.0,Lord of Illusions (1995),Horror
178.0,Love & Human Remains (1993),Comedy|Drama
179.0,Mad Love (1995),Drama|Romance
180.0,Mallrats (1995),Comedy|Romance
181.0,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
183.0,Mute Witness (1994),Comedy|Horror|Thriller
184.0,Nadja (1994),Drama
185.0,"Net, The (1995)",Action|Crime|Thriller
186.0,Nine Months (1995),Comedy|Romance
187.0,Party Girl (1995),Comedy
188.0,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189.0,Reckless (1995),Comedy|Fantasy
190.0,Safe (1995),Thriller
191.0,"Scarlet Letter, The (1995)",Drama|Romance
193.0,Showgirls (1995),Drama
194.0,Smoke (1995),Comedy|Drama
195.0,Something to Talk About (1995),Comedy|Drama|Romance
196.0,Species (1995),Horror|Sci-Fi
198.0,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
201.0,Three Wishes (1995),Drama|Fantasy
202.0,Total Eclipse (1995),Drama|Romance
203.0,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204.0,Under Siege 2: Dark Territory (1995),Action
205.0,Unstrung Heroes (1995),Comedy|Drama
206.0,Unzipped (1995),Documentary
207.0,"Walk in the Clouds, A (1995)",Drama|Romance
208.0,Waterworld (1995),Action|Adventure|Sci-Fi
209.0,White Man's Burden (1995),Drama
210.0,Wild Bill (1995),Western
211.0,"Browning Version, The (1994)",Drama
212.0,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
213.0,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
214.0,Before the Rain (Pred dozhdot) (1994),Drama|War
215.0,Before Sunrise (1995),Drama|Romance
216.0,Billy Madison (1995),Comedy
217.0,"Babysitter, The (1995)",Drama|Thriller
218.0,Boys on the Side (1995),Comedy|Drama
219.0,"Cure, The (1995)",Drama
220.0,Castle Freak (1995),Horror
222.0,Circle of Friends (1995),Drama|Romance
223.0,Clerks (1994),Comedy
224.0,Don Juan DeMarco (1995),Comedy|Drama|Romance
225.0,Disclosure (1994),Drama|Thriller
227.0,Drop Zone (1994),Action|Thriller
228.0,Destiny Turns on the Radio (1995),Comedy
229.0,Death and the Maiden (1994),Drama|Thriller
230.0,Dolores Claiborne (1995),Drama|Thriller
231.0,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232.0,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233.0,Exotica (1994),Drama
234.0,Exit to Eden (1994),Comedy
235.0,Ed Wood (1994),Comedy|Drama
236.0,French Kiss (1995),Action|Comedy|Romance
237.0,Forget Paris (1995),Comedy|Romance
238.0,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
239.0,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
240.0,Hideaway (1995),Thriller
241.0,Fluke (1995),Children|Drama
242.0,Farinelli: il castrato (1994),Drama|Musical
243.0,Gordy (1995),Children|Comedy|Fantasy
246.0,Hoop Dreams (1994),Documentary
247.0,Heavenly Creatures (1994),Crime|Drama
248.0,Houseguest (1994),Comedy
249.0,Immortal Beloved (1994),Drama|Romance
250.0,Heavyweights (Heavy Weights) (1995),Children|Comedy
251.0,"Hunted, The (1995)",Action
252.0,I.Q. (1994),Comedy|Romance
253.0,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
254.0,Jefferson in Paris (1995),Drama
255.0,"Jerky Boys, The (1995)",Comedy
256.0,Junior (1994),Comedy|Sci-Fi
257.0,Just Cause (1995),Mystery|Thriller
258.0,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
259.0,Kiss of Death (1995),Crime|Drama|Thriller
260.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261.0,Little Women (1994),Drama
262.0,"Little Princess, A (1995)",Children|Drama
263.0,Ladybird Ladybird (1994),Drama
265.0,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266.0,Legends of the Fall (1994),Drama|Romance|War|Western
267.0,Major Payne (1995),Comedy
269.0,My Crazy Life (Mi vida loca) (1993),Drama
270.0,Love Affair (1994),Drama|Romance
271.0,Losing Isaiah (1995),Drama
272.0,"Madness of King George, The (1994)",Comedy|Drama
273.0,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274.0,Man of the House (1995),Comedy
275.0,Mixed Nuts (1994),Comedy
276.0,Milk Money (1994),Comedy|Romance
277.0,Miracle on 34th Street (1994),Drama
278.0,Miami Rhapsody (1995),Comedy
279.0,My Family (1995),Drama
280.0,Murder in the First (1995),Drama|Thriller
281.0,Nobody's Fool (1994),Comedy|Drama|Romance
282.0,Nell (1994),Drama
283.0,New Jersey Drive (1995),Crime|Drama
284.0,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
285.0,Beyond Bedlam (1993),Drama|Horror
287.0,Nina Takes a Lover (1994),Comedy|Romance
288.0,Natural Born Killers (1994),Action|Crime|Thriller
289.0,Only You (1994),Comedy|Romance
290.0,Once Were Warriors (1994),Crime|Drama
291.0,Poison Ivy II (1996),Drama|Thriller
292.0,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293.0,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
294.0,"Perez Family, The (1995)",Comedy|Romance
295.0,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
296.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
298.0,Pushing Hands (Tui shou) (1992),Drama
299.0,Priest (1994),Drama
300.0,Quiz Show (1994),Drama
301.0,Picture Bride (Bijo photo) (1994),Drama|Romance
302.0,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
303.0,"Quick and the Dead, The (1995)",Action|Thriller|Western
304.0,Roommates (1995),Comedy|Drama
305.0,Ready to Wear (Pret-A-Porter) (1994),Comedy
306.0,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307.0,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308.0,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
310.0,Rent-a-Kid (1995),Comedy
311.0,Relative Fear (1994),Horror|Thriller
312.0,Stuart Saves His Family (1995),Comedy
313.0,"Swan Princess, The (1994)",Animation|Children
314.0,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
315.0,"Specialist, The (1994)",Action|Drama|Thriller
316.0,Stargate (1994),Action|Adventure|Sci-Fi
317.0,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318.0,"Shawshank Redemption, The (1994)",Crime|Drama
319.0,Shallow Grave (1994),Comedy|Drama|Thriller
320.0,Suture (1993),Film-Noir|Thriller
321.0,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322.0,Swimming with Sharks (1995),Comedy|Drama
324.0,"Sum of Us, The (1994)",Comedy|Drama
325.0,National Lampoon's Senior Trip (1995),Comedy
326.0,To Live (Huozhe) (1994),Drama
327.0,Tank Girl (1995),Action|Comedy|Sci-Fi
328.0,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
329.0,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
330.0,Tales from the Hood (1995),Action|Crime|Horror
331.0,Tom & Viv (1994),Drama
332.0,Village of the Damned (1995),Horror|Sci-Fi
333.0,Tommy Boy (1995),Comedy
334.0,Vanya on 42nd Street (1994),Drama
335.0,Underneath (1995),Mystery|Thriller
336.0,"Walking Dead, The (1995)",Drama|War
337.0,What's Eating Gilbert Grape (1993),Drama
338.0,Virtuosity (1995),Action|Sci-Fi|Thriller
339.0,While You Were Sleeping (1995),Comedy|Romance
340.0,"War, The (1994)",Adventure|Drama|War
341.0,Double Happiness (1994),Drama
342.0,Muriel's Wedding (1994),Comedy
343.0,"Baby-Sitters Club, The (1995)",Children
344.0,Ace Ventura: Pet Detective (1994),Comedy
345.0,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346.0,Backbeat (1993),Drama|Musical
347.0,Bitter Moon (1992),Drama|Film-Noir|Romance
348.0,Bullets Over Broadway (1994),Comedy
349.0,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350.0,"Client, The (1994)",Drama|Mystery|Thriller
351.0,"Corrina, Corrina (1994)",Comedy|Drama|Romance
352.0,Crooklyn (1994),Comedy|Drama
353.0,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
354.0,Cobb (1994),Drama
355.0,"Flintstones, The (1994)",Children|Comedy|Fantasy
356.0,Forrest Gump (1994),Comedy|Drama|Romance|War
357.0,Four Weddings and a Funeral (1994),Comedy|Romance
358.0,Higher Learning (1995),Drama
359.0,I Like It Like That (1994),Comedy|Drama|Romance
360.0,I Love Trouble (1994),Action|Comedy
361.0,It Could Happen to You (1994),Comedy|Drama|Romance
362.0,"Jungle Book, The (1994)",Adventure|Children|Romance
363.0,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
364.0,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
365.0,Little Buddha (1993),Drama
366.0,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
367.0,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368.0,Maverick (1994),Adventure|Comedy|Western
369.0,Mrs. Parker and the Vicious Circle (1994),Drama
370.0,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371.0,"Paper, The (1994)",Comedy|Drama
372.0,Reality Bites (1994),Comedy|Drama|Romance
373.0,Red Rock West (1992),Thriller
374.0,Richie Rich (1994),Children|Comedy
376.0,"River Wild, The (1994)",Action|Thriller
377.0,Speed (1994),Action|Romance|Thriller
378.0,Speechless (1994),Comedy|Romance
379.0,Timecop (1994),Action|Sci-Fi|Thriller
380.0,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
381.0,When a Man Loves a Woman (1994),Drama|Romance
382.0,Wolf (1994),Drama|Horror|Romance|Thriller
383.0,Wyatt Earp (1994),Western
384.0,Bad Company (1995),Action|Crime|Drama
385.0,"Man of No Importance, A (1994)",Drama
386.0,S.F.W. (1994),Drama
387.0,"Low Down Dirty Shame, A (1994)",Action|Comedy
388.0,Boys Life (1995),Drama
389.0,"Colonel Chabert, Le (1994)",Drama|Romance|War
390.0,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
391.0,Jason's Lyric (1994),Crime|Drama
393.0,Street Fighter (1994),Action|Adventure|Fantasy
405.0,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
406.0,Federal Hill (1994),Drama
407.0,In the Mouth of Madness (1995),Horror|Thriller
408.0,8 Seconds (1994),Drama
409.0,Above the Rim (1994),Crime|Drama
410.0,Addams Family Values (1993),Children|Comedy|Fantasy
412.0,"Age of Innocence, The (1993)",Drama
413.0,Airheads (1994),Comedy
414.0,"Air Up There, The (1994)",Comedy
415.0,Another Stakeout (1993),Comedy|Thriller
416.0,Bad Girls (1994),Western
417.0,Barcelona (1994),Comedy|Romance
418.0,Being Human (1993),Drama
419.0,"Beverly Hillbillies, The (1993)",Comedy
420.0,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
421.0,Black Beauty (1994),Adventure|Children|Drama
422.0,Blink (1994),Thriller
423.0,Blown Away (1994),Action|Thriller
424.0,Blue Chips (1994),Drama
425.0,Blue Sky (1994),Drama|Romance
426.0,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427.0,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
428.0,"Bronx Tale, A (1993)",Drama
429.0,Cabin Boy (1994),Comedy
